2019-07-22 23:22:45,b'@BriansMindHouse @RyanHillMI @realDonaldTrump Oh and the full page ad calling for the death penalty of 5 teenagers of color.'
2019-07-22 23:22:45,b'@realDonaldTrump Because you haven\xe2\x80\x99t.'
2019-07-22 23:22:45,"b'@realDonaldTrump Sir, you don\xe2\x80\x99t have to quantify anything to anyone. We know all that you have and our doing for Al\xe2\x80\xa6 https://t.co/93hy6S2k62'"
2019-07-22 23:22:45,b'@LilleyDennese @SteveScalise @realDonaldTrump He is more concerned as are millions of us that they will destroy thi\xe2\x80\xa6 https://t.co/P9Abx3tir4'
2019-07-22 23:22:45,"b'Tonight may be the night when @realDonaldTrump tells us all he knows about #QAnon #askthequestion \nAre you Q, Mr. President?'"
2019-07-22 23:22:45,b'@joeflex73 @realDonaldTrump Germany is always a mess politically and financially. Also another place that owes the\xe2\x80\xa6 https://t.co/oOXO25mK1d'
2019-07-22 23:22:45,"b'Trump: I could wipe Afghanistan off the Earth if I wanted to\nhttps://t.co/rxcvx3Z2SC @realdonaldtrump \nMan, fuck yo\xe2\x80\xa6 https://t.co/9XVC1SUTBM'"
2019-07-22 23:22:45,b'@realDonaldTrump Have you stopped caging children and given back the newborns to their mothers yet? Stop being crue\xe2\x80\xa6 https://t.co/Ko2jbvK62i'
2019-07-22 23:22:45,b'@kristirice47 @realDonaldTrump We\xe2\x80\x99re just asking for too much these days it seems'
2019-07-22 23:22:45,"b'@realDonaldTrump Fact:  zero miles of new wall have been built, despite your repeated claims!'"
2019-07-22 23:22:44,"b'@pearl_of_truth @USAPatriotRadio @JmkWalnut @BlueJayBirdo @presDonldSkroob @ArthurSchwartz @realDonaldTrump Ok, wha\xe2\x80\xa6 https://t.co/KYM6y7njsv'"
2019-07-22 23:22:44,"b'Nice replacement fence you are building, dumbass. @realDonaldTrump https://t.co/j5ukO3vMDk'"
2019-07-22 23:22:44,"b""@4NuNuSummer03 @realDonaldTrump Came and went. There's no collusion. #getoverit"""
2019-07-22 23:22:43,b'@realDonaldTrump Finish the Wall President Trump!!!'
2019-07-22 23:22:43,b'@realDonaldTrump What needs to be done is to restructure how agency budgets are managed. It\xe2\x80\x99s near August and agenc\xe2\x80\xa6 https://t.co/PRGVnlxDpP'
2019-07-22 23:22:43,b'@TalbertSwan @realDonaldTrump You failed to mention the TransAtlantic slave trader that started selling black slave\xe2\x80\xa6 https://t.co/D879WMG7KL'
2019-07-22 23:22:43,b'@realDonaldTrump Unbelievable'
2019-07-22 23:22:43,"b""@realDonaldTrump Donald - YOU'RE racist!\nSeriously, it really is too much to ask that you just stop tweeting lies a\xe2\x80\xa6 https://t.co/bwuvzpFzOP"""
2019-07-22 23:22:43,b'@dredster747 @shrikeworship @bldingoodhealth @donaldhale57 @PupMom76 @motherlode2016 @littledeekay @realDonaldTrump\xe2\x80\xa6 https://t.co/bNROKiL7Fg'
2019-07-22 23:22:42,b'@RichardsBryce @TalbertSwan @realDonaldTrump Because is has nothing to do with why he was elected and will be reele\xe2\x80\xa6 https://t.co/zimoUuLWAd'
2019-07-22 23:22:42,b'@realDonaldTrump Congratulations! Your work is done. Resign.'
2019-07-22 23:22:42,"b'@realDonaldTrump Fake News?   Don, you\xe2\x80\x99ve lied 11,000 times in 2 1/2 years.   Who knows the truth?'"
2019-07-22 23:22:42,b'@TalbertSwan @realDonaldTrump Um...he was here working for a Spaniard.  A white man.'
